,name,username,profile,user_id,title,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
25,Alexander Zubov,alexander_zubov,https://www.chess.com/member/Alexander_Zubov,22106804,GM,2740.0,Ukraine,2166,24/04/2015,16/07/2023,2726.0,2726.0,12/10/2020,10.0,1.0,1.0,3046.0,3068.0,24/08/2021,1991.0,280.0,746.0,3109.0,3163.0,23/03/2023,2866.0,191.0,928.0,2815,10/01/2023,71.0,True,premium,Silver
26,Radoslaw Wojtaszek,radzio1987,https://www.chess.com/member/Radzio1987,23316188,GM,2733.0,Poland,303,20/07/2015,16/06/2023,2575.0,2749.0,22/08/2020,12.0,9.0,4.0,2825.0,2926.0,20/05/2020,289.0,73.0,119.0,2842.0,2842.0,09/06/2021,38.0,7.0,21.0,3499,11/05/2018,51.0,False,premium,Stone
27,Jan-Krzysztof Duda,polish_fighter3000,https://www.chess.com/member/Polish_fighter3000,47485766,GM,2731.0,Poland,6759,29/06/2018,15/07/2023,2755.0,2997.0,23/08/2020,31.0,8.0,11.0,3003.0,3143.0,28/02/2020,1868.0,362.0,1006.0,3035.0,3248.0,13/11/2020,3551.0,364.0,2439.0,3956,11/01/2021,54.0,False,premium,Silver
28,Hou Yifan,yifan0227,https://www.chess.com/member/yifan0227,33196819,GM,2730.0,China,1443,14/02/2017,17/05/2023,2572.0,2745.0,04/12/2020,14.0,8.0,7.0,2802.0,2816.0,02/09/2022,125.0,42.0,88.0,2632.0,2666.0,19/07/2022,49.0,27.0,50.0,1000,23/11/2021,54.0,False,premium,Stone
29,Hikaru Nakamura,hikarunakamura,https://www.chess.com/member/HikaruNakamura,3889237,GM,2729.0,United States,1182,27/08/2010,10/09/2010,,,,,,,,,,,,,,,,,,,400,27/08/2010,,False,premium,
30,Dmitry Andreikin,fairchess_on_youtube,https://www.chess.com/member/FairChess_on_YouTube,14498226,GM,2729.0,International,2186,19/11/2013,16/07/2023,2675.0,2811.0,03/07/2022,131.0,117.0,67.0,2995.0,3161.0,17/08/2022,2709.0,704.0,897.0,2994.0,3310.0,05/10/2020,694.0,120.0,411.0,3128,06/07/2018,51.0,False,premium,Legend
31,Liem Le,liemle,https://www.chess.com/member/LiemLe,13579258,GM,2728.0,Vietnam,5475,19/09/2013,13/07/2023,2693.0,2769.0,23/05/2023,114.0,76.0,63.0,2927.0,3042.0,28/03/2022,783.0,236.0,405.0,3121.0,3121.0,13/04/2021,189.0,34.0,85.0,3765,03/11/2018,71.0,False,premium,Crystal
32,Parham Maghsoodloo,parhamov,https://www.chess.com/member/Parhamov,32230490,GM,2728.0,Iran,4022,08/01/2017,13/07/2023,2645.0,2714.0,09/05/2022,93.0,76.0,81.0,2984.0,3191.0,23/05/2019,2693.0,613.0,2088.0,3004.0,3140.0,28/10/2020,2899.0,407.0,3088.0,2709,10/01/2023,93.0,False,premium,Crystal
33,Vidit Gujrathi,viditchess,https://www.chess.com/member/viditchess,8274000,GM,2726.0,India,12845,22/07/2012,02/07/2023,2649.0,2754.0,13/02/2022,89.0,64.0,39.0,3044.0,3089.0,30/06/2021,1084.0,268.0,501.0,2921.0,3120.0,06/11/2021,444.0,72.0,242.0,3012,15/12/2015,67.0,True,premium,Crystal
34,Baadur Jobava,exoticprincess,https://www.chess.com/member/exoticprincess,19356894,GM,2722.0,Georgia,2171,19/10/2014,28/03/2023,2596.0,2740.0,21/08/2020,73.0,5.0,7.0,3002.0,3119.0,26/10/2022,4930.0,1134.0,1950.0,2848.0,2992.0,28/09/2020,114.0,33.0,100.0,3402,21/04/2020,109.0,False,premium,Champion
35,Evgeny Shtembuliak,shtembuliak,https://www.chess.com/member/Shtembuliak,28906282,GM,2721.0,United States,1174,04/07/2016,16/07/2023,1913.0,2523.0,21/08/2020,17.0,8.0,9.0,2853.0,2985.0,18/04/2020,3798.0,954.0,3192.0,2911.0,2986.0,28/10/2020,878.0,120.0,671.0,3574,30/12/2022,46.0,True,premium,Elite
36,Yaroslav Zherebukh,cruel_yaro,https://www.chess.com/member/Cruel_Yaro,10867830,GM,2718.0,United States,1579,19/02/2013,16/07/2023,2573.0,2674.0,11/07/2022,36.0,9.0,9.0,2787.0,2943.0,07/11/2021,1877.0,337.0,1032.0,2481.0,2799.0,13/09/2020,484.0,41.0,275.0,3303,17/12/2019,73.0,False,premium,Bronze
37,Varuzhan Akobian,akobian-stl,https://www.chess.com/member/Akobian-STL,13239548,GM,2717.0,United States,3,22/08/2013,30/10/2017,2717.0,,,0.0,0.0,1.0,,,,,,,,,,,,,400,22/08/2013,,False,premium,
38,Francisco Vallejo Pons,gmvallejo,https://www.chess.com/member/GMVallejo,3164022,GM,2715.0,Spain,2095,23/10/2008,15/07/2023,2631.0,2801.0,09/04/2022,21.0,16.0,16.0,2911.0,3002.0,05/11/2022,533.0,127.0,237.0,2918.0,3024.0,06/05/2023,495.0,51.0,173.0,3087,25/02/2023,57.0,False,premium,Crystal
39,Alexander Ipatov,thegadfly1897,https://www.chess.com/member/TheGadfly1897,10783070,GM,2714.0,United States,656,12/02/2013,12/07/2023,2561.0,2717.0,05/01/2021,77.0,11.0,7.0,2839.0,2935.0,11/08/2019,305.0,67.0,182.0,2879.0,2744.0,19/12/2019,84.0,24.0,69.0,3009,29/12/2022,58.0,False,premium,
40,Vasif Durarbayli,durarbayli,https://www.chess.com/member/Durarbayli,22451396,GM,2711.0,Azerbaijan,1402,19/05/2015,15/07/2023,2609.0,2732.0,30/05/2020,75.0,39.0,49.0,2926.0,2979.0,02/03/2023,2693.0,524.0,2022.0,2939.0,2949.0,09/07/2023,579.0,81.0,420.0,3521,08/07/2023,67.0,False,premium,Elite
41,Andrey Esipenko,andreikka,https://www.chess.com/member/Andreikka,10767030,GM,2709.0,Russia,3041,10/02/2013,16/07/2023,2570.0,2878.0,16/08/2020,83.0,38.0,37.0,2938.0,3032.0,17/12/2019,1494.0,359.0,1104.0,2910.0,3144.0,21/09/2020,885.0,113.0,765.0,3411,02/04/2020,57.0,False,premium,Crystal
42,Aleksandr Lenderman,alexanderl,https://www.chess.com/member/AlexanderL,2534106,GM,2706.0,United States,1739,08/02/2010,16/07/2023,2560.0,2805.0,20/09/2020,176.0,57.0,37.0,2882.0,2997.0,22/02/2023,1733.0,324.0,518.0,2752.0,2815.0,07/08/2018,558.0,45.0,220.0,3751,29/09/2022,74.0,True,premium,Silver
43,Arkadij Naiditsch,captainjames,https://www.chess.com/member/CaptainJames,6659472,GM,2705.0,Germany,224,13/02/2012,12/10/2022,2521.0,2521.0,23/07/2022,11.0,0.0,0.0,2761.0,2924.0,22/04/2020,620.0,109.0,516.0,2574.0,2708.0,13/01/2017,312.0,27.0,118.0,400,13/02/2012,,False,premium,Wood
44,Vladislav Kovalev,vladislavkovalev,https://www.chess.com/member/vladislavkovalev,32388596,GM,2703.0,International,221,15/01/2017,12/07/2023,2573.0,2842.0,31/05/2020,176.0,89.0,111.0,2948.0,2966.0,10/06/2020,1682.0,403.0,1323.0,2786.0,2848.0,30/01/2022,742.0,113.0,680.0,3290,09/01/2019,66.0,False,premium,Elite
45,Alex Lenderman,lenderman-ny,https://www.chess.com/member/Lenderman-NY,8720078,GM,2703.0,United States,24,30/08/2012,01/10/2012,,,,,,,,,,,,,,,,,,,400,30/08/2012,,False,premium,
46,Vladimir Fedoseev,bigfish1995,https://www.chess.com/member/Bigfish1995,26303484,GM,2701.0,Samoa,3027,24/01/2016,15/07/2023,2778.0,2787.0,26/05/2023,247.0,103.0,89.0,3064.0,3174.0,10/01/2020,6020.0,1293.0,4130.0,2981.0,3231.0,10/11/2020,3694.0,562.0,3379.0,3726,04/09/2021,63.0,True,premium,Crystal
47,Jaan Ehlvest,malev212,https://www.chess.com/member/Malev212,4846667,GM,2701.0,United States,373,13/03/2011,12/07/2023,2610.0,2860.0,30/11/2020,12.0,4.0,6.0,2633.0,2737.0,31/01/2019,646.0,70.0,556.0,2404.0,2498.0,07/07/2023,1504.0,34.0,1260.0,2965,10/10/2012,48.0,False,premium,Bronze
48,Bogdan Daniel Deac,bogdandeac,https://www.chess.com/member/BogdanDeac,30887540,GM,2700.0,Romania,2174,13/11/2016,16/07/2023,2608.0,2919.0,30/11/2020,64.0,52.0,44.0,3011.0,3105.0,28/12/2022,5065.0,1449.0,3002.0,2879.0,2951.0,21/05/2021,700.0,66.0,513.0,3442,07/07/2023,66.0,False,premium,Elite
49,Bassem Amin,dr-bassem,https://www.chess.com/member/Dr-Bassem,15595068,GM,2700.0,Egypt,1985,16/01/2014,04/07/2023,2510.0,2964.0,12/04/2020,14.0,8.0,12.0,2819.0,2876.0,17/09/2021,519.0,85.0,358.0,2893.0,2819.0,07/04/2020,79.0,7.0,91.0,3408,30/05/2023,47.0,False,premium,Bronze
50,Laurent Fressinet,zlatan56,https://www.chess.com/member/Zlatan56,21243480,GM,2700.0,France,111,24/02/2015,16/07/2023,2651.0,2741.0,13/03/2023,15.0,13.0,12.0,2886.0,2972.0,24/02/2023,254.0,80.0,134.0,,,,,,,2798,22/05/2018,43.0,False,premium,Silver
51,Michael Adams,gmmickeyadams,https://www.chess.com/member/GMMickeyAdams,11099296,GM,2700.0,England,110,11/03/2013,14/07/2023,2556.0,2729.0,15/08/2020,23.0,17.0,8.0,2790.0,2897.0,14/12/2022,116.0,8.0,22.0,,,,,,,2740,29/10/2022,,False,premium,Crystal
52,,honestgirl,https://www.chess.com/member/honestgirl,11636394,GM,2700.0,Tonga,1022,24/04/2013,12/07/2023,1465.0,,,0.0,0.0,21.0,2776.0,2962.0,07/03/2020,25496.0,3908.0,12108.0,2311.0,2590.0,13/05/2013,101.0,9.0,35.0,400,24/04/2013,43.0,False,premium,Legend
53,Wang Yue,chesswy,https://www.chess.com/member/chesswy,18749342,GM,2700.0,China,154,03/09/2014,07/07/2023,,,,,,,2459.0,2731.0,06/09/2014,30.0,10.0,22.0,2541.0,2503.0,06/09/2014,9.0,1.0,11.0,3639,05/11/2022,82.0,False,premium,
54,Alex Khalifman,oldbolt,https://www.chess.com/member/OldBolt,14927394,GM,2700.0,Russia,5,09/12/2013,26/05/2021,,,,,,,,,,,,,,,,,,,3049,12/12/2013,32.0,False,premium,
55,Loek van Wely,kingloek,https://www.chess.com/member/KingLoek,13411220,GM,2700.0,Netherlands,95,05/09/2013,03/03/2023,2454.0,2770.0,19/12/2020,15.0,7.0,6.0,2858.0,2888.0,11/12/2022,152.0,34.0,90.0,2692.0,2580.0,07/09/2013,25.0,3.0,13.0,400,05/09/2013,40.0,False,premium,Stone
56,Sergey Erenburg,erenburg-phi,https://www.chess.com/member/Erenburg-PHI,8720194,GM,2700.0,United States,0,30/08/2012,11/12/2012,2569.0,2810.0,18/10/2012,1.0,0.0,0.0,,,,,,,,,,,,,400,30/08/2012,,False,premium,
57,Tamaz Gelashvili,gelashvili-ny,https://www.chess.com/member/Gelashvili-NY,8720110,GM,2699.0,United States,5,30/08/2012,30/10/2017,,,,,,,,,,,,,,,,,,,400,30/08/2012,,False,premium,
58,Aleksandr Shimanov,shimanovalex,https://www.chess.com/member/ShimanovAlex,24305672,GM,2699.0,United States,665,27/09/2015,16/07/2023,2527.0,2801.0,29/12/2020,3.0,2.0,3.0,3014.0,3023.0,12/02/2023,3935.0,780.0,2759.0,3000.0,3066.0,18/10/2021,95.0,8.0,47.0,2217,04/11/2017,57.0,False,premium,Bronze
59,Gabriel Sargissian,arm-akiba,https://www.chess.com/member/Arm-Akiba,32114346,GM,2699.0,Armenia,256,04/01/2017,16/07/2023,2468.0,2920.0,30/05/2020,15.0,11.0,8.0,2914.0,2914.0,10/06/2019,397.0,147.0,277.0,2884.0,2884.0,05/02/2021,196.0,31.0,159.0,3458,16/07/2023,49.0,False,premium,Wood
60,Borki Predojevic,kiborg1987,https://www.chess.com/member/kiborg1987,19648712,GM,2698.0,Bosnia-Herzegovina,836,10/11/2014,16/07/2023,2564.0,2630.0,08/03/2018,11.0,1.0,2.0,2917.0,2917.0,08/02/2022,380.0,78.0,165.0,2885.0,2946.0,13/10/2022,168.0,15.0,106.0,2644,27/12/2020,44.0,False,premium,Bronze
61,Giorgi Kacheishvili,kacheishvili-ny,https://www.chess.com/member/Kacheishvili-NY,8720088,GM,2697.0,United States,1,30/08/2012,28/08/2013,2697.0,,,0.0,0.0,1.0,,,,,,,,,,,,,400,30/08/2012,,False,premium,
62,Sergei Zhigalko,zhigalko_sergei,https://www.chess.com/member/Zhigalko_Sergei,26572336,GM,2695.0,International,1624,07/02/2016,16/07/2023,,,,,,,2882.0,3031.0,09/11/2019,2965.0,547.0,1350.0,3117.0,3256.0,18/12/2021,7417.0,753.0,4525.0,3235,03/09/2018,47.0,False,premium,Legend
63,Pavel Vorontsov,pvorontsov,https://www.chess.com/member/PVorontsov,73482774,GM,2691.0,United States,197,14/03/2020,05/04/2023,2302.0,2465.0,06/01/2021,4.0,3.0,4.0,2633.0,2855.0,07/01/2021,311.0,68.0,232.0,2521.0,2521.0,12/11/2020,1.0,2.0,1.0,2882,20/05/2021,35.0,False,premium,Bronze
64,Max Illingworth,illingworth,https://www.chess.com/member/Illingworth,3945912,GM,2690.0,Australia,3713,08/09/2010,16/07/2023,2612.0,2877.0,10/10/2020,11.0,6.0,5.0,2875.0,2956.0,17/06/2020,1827.0,217.0,777.0,2826.0,3064.0,11/09/2020,823.0,74.0,280.0,3637,06/05/2023,56.0,False,premium,Bronze
65,Judit Polgar,juditpolgar,https://www.chess.com/member/JuditPolgar,3889226,GM,2690.0,Hungary,1740,27/08/2010,28/09/2020,,,,,,,2718.0,2772.0,06/10/2013,10.0,2.0,4.0,2782.0,2828.0,06/10/2013,7.0,1.0,5.0,1209,10/03/2019,42.0,False,staff,
66,Mykhaylo Oleksiyenko,hitaman,https://www.chess.com/member/hitaman,12267254,GM,2689.0,Ukraine,393,11/06/2013,16/07/2023,2223.0,2300.0,06/12/2014,26.0,1.0,1.0,2667.0,2795.0,04/04/2023,445.0,75.0,244.0,2642.0,2642.0,26/10/2020,49.0,6.0,17.0,3876,27/06/2019,63.0,False,premium,Wood
67,David Howell,howitzer14,https://www.chess.com/member/howitzer14,28029696,GM,2689.0,England,966,04/05/2016,13/07/2023,2735.0,2906.0,17/08/2020,30.0,9.0,5.0,3019.0,3046.0,03/03/2021,3283.0,528.0,1009.0,3032.0,3032.0,09/09/2021,3818.0,324.0,1276.0,2940,07/05/2016,59.0,False,premium,Champion
68,Rauf Mamedov,muisback26,https://www.chess.com/member/Muisback26,30209744,GM,2688.0,Azerbaijan,802,03/10/2016,05/07/2023,2673.0,2970.0,23/08/2020,9.0,1.0,3.0,3198.0,3198.0,07/03/2023,1656.0,340.0,948.0,3176.0,3202.0,13/10/2022,186.0,31.0,123.0,3503,29/11/2022,67.0,False,premium,Bronze
69,Grigoriy Oparin,oparingrigoriy,https://www.chess.com/member/OparinGrigoriy,3952699,GM,2687.0,United States,1404,10/09/2010,16/07/2023,2640.0,2681.0,24/05/2023,181.0,138.0,96.0,2977.0,3046.0,21/06/2023,3866.0,953.0,1696.0,2946.0,3049.0,20/12/2020,2420.0,400.0,1478.0,400,10/09/2010,,False,premium,Elite
70,Yuniesky Quesada,quesada-mia,https://www.chess.com/member/Quesada-MIA,13238608,GM,2686.0,United States,5,22/08/2013,19/09/2013,2686.0,2781.0,28/08/2013,1.0,0.0,0.0,,,,,,,,,,,,,400,22/08/2013,,False,premium,
71,Ivan Cheparinov,gmcheparinov,https://www.chess.com/member/GMCheparinov,88551132,GM,2686.0,Bulgaria,20,07/08/2020,26/06/2023,2651.0,2749.0,13/03/2022,6.0,4.0,4.0,2760.0,2806.0,08/10/2020,53.0,11.0,23.0,2733.0,2733.0,20/06/2023,8.0,0.0,0.0,3028,20/07/2022,,False,premium,Stone
72,Ivan Cheparinov,chepaschess,https://www.chess.com/member/Chepaschess,72323792,GM,2686.0,Bulgaria,34,18/02/2020,29/06/2020,2496.0,2668.0,30/05/2020,2.0,2.0,1.0,2904.0,2908.0,26/06/2020,117.0,41.0,50.0,2821.0,2860.0,19/06/2020,8.0,1.0,6.0,2754,09/05/2020,,False,premium,
73,Aleksei Sarana,mishanick,https://www.chess.com/member/mishanick,17860442,GM,2685.0,Serbia,2039,28/06/2014,16/07/2023,2675.0,2977.0,30/05/2020,176.0,104.0,88.0,3056.0,3135.0,19/01/2022,10345.0,1795.0,5850.0,2983.0,3130.0,08/03/2022,1728.0,206.0,1203.0,3719,25/12/2022,80.0,False,premium,Elite
74,Hedinn Steingrimsson,hedinn,https://www.chess.com/member/Hedinn,14304506,GM,2685.0,Iceland,10,11/11/2013,02/07/2023,,,,,,,2604.0,2678.0,10/05/2020,76.0,13.0,43.0,2035.0,,,0.0,0.0,1.0,2655,26/08/2015,39.0,False,premium,
75,Dmitry Jakovenko,djakovenko,https://www.chess.com/member/DJakovenko,57070720,GM,2684.0,Russia,53,08/02/2019,11/05/2023,2612.0,2938.0,20/02/2021,30.0,2.0,4.0,2256.0,2648.0,16/02/2021,25.0,4.0,7.0,,,,,,,2989,10/07/2021,69.0,False,premium,Stone
76,Peter Svidler,psvidler,https://www.chess.com/member/PSvidler,64343940,GM,2683.0,Russia,838,16/08/2019,15/07/2023,2654.0,2800.0,25/09/2022,22.0,17.0,13.0,2963.0,3079.0,16/04/2020,328.0,103.0,101.0,2809.0,3053.0,24/10/2020,14.0,12.0,31.0,2200,11/05/2020,63.0,False,premium,Stone
77,Jorden van Foreest,joppie2,https://www.chess.com/member/joppie2,5094518,GM,2682.0,Netherlands,1294,08/05/2011,16/07/2023,2688.0,2700.0,11/07/2023,47.0,31.0,52.0,2961.0,3078.0,18/11/2022,4991.0,989.0,4063.0,2881.0,3140.0,13/11/2020,3685.0,336.0,3092.0,3456,02/05/2023,57.0,False,premium,Crystal
78,Eltaj Safarli,eltajsafarli,https://www.chess.com/member/EltajSafarli,20762202,GM,2680.0,Azerbaijan,125,24/01/2015,13/02/2017,,,,,,,2855.0,2866.0,08/02/2017,65.0,20.0,18.0,3028.0,2922.0,23/02/2016,240.0,25.0,148.0,2794,08/02/2017,,False,premium,
79,Yury Shulman,yuryshulman,https://www.chess.com/member/YuryShulman,5650873,GM,2680.0,United States,17,21/08/2011,03/05/2023,,,,,,,2337.0,2524.0,14/01/2014,3.0,6.0,16.0,2277.0,2414.0,19/01/2014,5.0,2.0,14.0,400,21/08/2011,,False,premium,Wood
80,Illia Nyzhnyk,nyzhnyk_illia,https://www.chess.com/member/Nyzhnyk_Illia,4863119,GM,2679.0,United States,795,17/03/2011,14/07/2023,2590.0,2782.0,23/01/2020,25.0,9.0,7.0,2874.0,2991.0,27/07/2022,815.0,103.0,178.0,2988.0,3057.0,17/05/2022,388.0,37.0,154.0,3740,30/05/2023,57.0,False,premium,Crystal
81,Vasyl Ivanchuk,viviania,https://www.chess.com/member/viviania,19126086,GM,2678.0,Ukraine,892,02/10/2014,13/06/2023,2529.0,2704.0,21/08/2020,12.0,17.0,16.0,2911.0,3015.0,18/04/2023,67.0,11.0,25.0,,,,,,,3015,18/09/2015,,False,premium,Stone
