#,Name,Classic,Rapid,Blitz,Age,% Wins_lt,% Draws_lt,% Losses_lt
71,"Leko, Peter",2666.0,2710 i,2738 i,43,25.45,57.87,16.68
72,"Moussard, Jules",2665.1,2610.6,2637.0,28,52.96,24.15,22.89
73,"Bacrot, Etienne",2663.8,2682.4,2640.0,40,43.96,36.16,19.88
74,"Adams, Michael",2661.9,2647.0,2704.0,51,39.51,45.33,15.16
75,"Niemann, Hans Moke",2660.0,2577.0,2616.0,20,49.15,22.31,28.54
76,"Korobov, Anton",2659.4,2619.2,2649.0,38,49.38,31.84,18.78
77,"Volokitin, Andrei",2659.2,2615.4,2545 i,37,39.57,39.04,21.39
78,"Santos Latasa, Jaime",2659.0,2656.2,2604.0,27,48.57,35.41,16.02
79,"Wang, Yue",2659.0,2710 i,2666 i,36,,,
80,Narayanan.S.L,2658.9,2586.0,2564.0,25,36.6,29.12,34.28
81,"Inarkiev, Ernesto",2658.0,2684.0,2544.0,37,38.68,39.11,22.2
82,"Salem, A.R. Saleh",2657.9,2672.4,2668.0,30,50.12,23.47,26.41
83,"Kryvoruchko, Yuriy",2656.0,2697 i,2595 i,36,39.99,46.18,13.83
84,"Gelfand, Boris",2654.6,2619.0,2604.0,55,30.67,50.53,18.8
85,"Cheparinov, Ivan",2653.7,2646.0,2613.0,36,43.31,38.86,17.83
86,"Guseinov, Gadir",2653.3,2628.8,2573.0,37,46.03,33.27,20.7
87,"Abasov, Nijat",2653.0,2549.8,2561.4,28,37.5,42.47,20.03
88,"Fressinet, Laurent",2652.9,2654.4,2635.0,41,41.94,39.77,18.29
89,"Predke, Alexandr",2652.1,2585.6,2594.0,29,46.42,31.64,21.94
90,"Li, Chao b",2652.0,2631.0,2693 i,34,43.06,39.5,17.44
91,"Ma, Qun",2651.0,2577.0,2602 i,31,39.26,47.48,13.26
92,"Naiditsch, Arkadij",2651.0,2566.0,2581.0,37,46.05,31.89,22.06
93,"Ni, Hua",2651.0,2626.0,2579 i,40,39.94,45.2,14.86
94,"Ponomariov, Ruslan",2650.6,2645.4,2613.4,39,34.98,45.15,19.87
95,"Melkumyan, Hrant",2650.0,2686 i,2604 i,34,48.7,27.77,23.52
96,"Najer, Evgeniy",2648.0,2579.0,2545.0,46,43.18,34.52,22.3
97,"Saric, Ivan",2647.5,2631.0,2586.0,32,43.31,36.03,20.66
98,"Malakhov, Vladimir",2646.0,2666.0,2652.0,42,41.03,44.29,14.69
99,"Liang, Awonder",2645.6,2518.4,2538.0,20,44.17,29.0,26.83
100,"Aravindh, Chithambaram VR.",2645.0,2553.0,2596.0,23,8.7,23.28,68.02
